Tile,Path,ManualClusterNumber,Color,KCC,KCC.PCA,KCC.tSNE,KCC.SVD
1,KPMP_uS-X001Y008_Annotations,1,white,3,3,1,3
1,KPMP_uS-X001Y008_Annotations,2,green,1,1,3,4
1,KPMP_uS-X001Y008_Annotations,3,pink,2,2,4,1
1,KPMP_uS-X001Y008_Annotations,4,red,4,4,2,2
2,KPMP_uS-X001Y009_Annotations,1,white,2,1,5,3
2,KPMP_uS-X001Y009_Annotations,2,green,3,5,1,1
2,KPMP_uS-X001Y009_Annotations,3,pink,6,3,3,6
2,KPMP_uS-X001Y009_Annotations,4,purple,4,6,4,5
2,KPMP_uS-X001Y009_Annotations,5,red,1,4,6,2
2,KPMP_uS-X001Y009_Annotations,6,yellow,5,2,2,4
3,KPMP_uS-X001Y010_Annotations,1,white,2,1,4,3
3,KPMP_uS-X001Y010_Annotations,2,green,1,3,5,1
3,KPMP_uS-X001Y010_Annotations,3,pink,4,5,2,5
3,KPMP_uS-X001Y010_Annotations,4,purple,5,4,1,2
3,KPMP_uS-X001Y010_Annotations,5,yellow,3,2,3,4
4,KPMP_uS-X002Y009_Annotations,1,white,1,1,1,1
4,KPMP_uS-X002Y009_Annotations,2,green,2,2,2,2
5,KPMP_uS-X002Y011_Annotations,1,white,1,2,2,1
5,KPMP_uS-X002Y011_Annotations,2,green,2,1,1,2
6,KPMP_uS-X002Y013_Annotations,1,white,2,2,1,2
6,KPMP_uS-X002Y013_Annotations,2,green,1,3,2,1
6,KPMP_uS-X002Y013_Annotations,3,purple,3,1,3,3
7,KPMP_uS-X002Y015_Annotations,1,white,5,5,5,3
7,KPMP_uS-X002Y015_Annotations,2,blue,3,2,4,5
7,KPMP_uS-X002Y015_Annotations,3,green,4,4,1,2
7,KPMP_uS-X002Y015_Annotations,4,pink,2,3,2,4
7,KPMP_uS-X002Y015_Annotations,5,purple,1,1,3,1
8,KPMP_uS-X002Y019_Annotations,1,white,1,3,4,2
8,KPMP_uS-X002Y019_Annotations,2,gray,3,1,1,3
8,KPMP_uS-X002Y019_Annotations,3,purple,4,2,3,1
8,KPMP_uS-X002Y019_Annotations,4,yellow,2,4,2,4
9,KPMP_uS-X002Y021_Annotations,1,white,3,3,3,1
9,KPMP_uS-X002Y021_Annotations,2,blue,4,5,2,4
9,KPMP_uS-X002Y021_Annotations,3,black,2,4,4,3
9,KPMP_uS-X002Y021_Annotations,4,gray,5,1,1,5
9,KPMP_uS-X002Y021_Annotations,5,purple,1,2,6,6
9,KPMP_uS-X002Y021_Annotations,6,yellow,6,6,5,2
10,KPMP_uS-X003Y006_Annotations,1,white,3,2,2,1
10,KPMP_uS-X003Y006_Annotations,2,green,1,3,3,2
10,KPMP_uS-X003Y006_Annotations,3,purple,2,1,1,3